Date,Open,High,Low,Close,Adj Close,Volume
2001-01-02,9.810000,9.810000,9.810000,9.810000,4.989241,0
2001-01-03,9.820000,9.820000,9.820000,9.820000,4.994325,0
2001-01-04,9.840000,9.840000,9.840000,9.840000,5.004496,0
2001-01-05,9.870000,9.870000,9.870000,9.870000,5.019754,0
2001-01-08,9.890000,9.890000,9.890000,9.890000,5.029925,0
2001-01-09,9.910000,9.910000,9.910000,9.910000,5.040097,0
2001-01-10,9.930000,9.930000,9.930000,9.930000,5.050271,0
2001-01-11,9.930000,9.930000,9.930000,9.930000,5.050271,0
2001-01-12,9.910000,9.910000,9.910000,9.910000,5.040097,0
2001-01-16,9.900000,9.900000,9.900000,9.900000,5.035011,0
2001-01-17,9.900000,9.900000,9.900000,9.900000,5.035011,0
2001-01-18,9.910000,9.910000,9.910000,9.910000,5.040097,0
2001-01-19,9.910000,9.910000,9.910000,9.910000,5.040097,0
2001-01-22,9.900000,9.900000,9.900000,9.900000,5.035011,0
2001-01-23,9.890000,9.890000,9.890000,9.890000,5.029925,0
2001-01-24,9.880000,9.880000,9.880000,9.880000,5.024841,0
2001-01-25,9.870000,9.870000,9.870000,9.870000,5.019754,0
2001-01-26,9.860000,9.860000,9.860000,9.860000,5.014671,0
2001-01-29,9.850000,9.850000,9.850000,9.850000,5.009582,0
2001-01-30,9.850000,9.850000,9.850000,9.850000,5.009582,0
2001-01-31,9.860000,9.860000,9.860000,9.860000,5.035631,0
2001-02-01,9.890000,9.890000,9.890000,9.890000,5.050950,0
2001-02-02,9.890000,9.890000,9.890000,9.890000,5.050950,0
2001-02-05,9.890000,9.890000,9.890000,9.890000,5.050950,0
2001-02-06,9.890000,9.890000,9.890000,9.890000,5.050950,0
2001-02-07,9.890000,9.890000,9.890000,9.890000,5.050950,0
2001-02-08,9.890000,9.890000,9.890000,9.890000,5.050950,0
2001-02-09,9.890000,9.890000,9.890000,9.890000,5.050950,0
2001-02-12,9.890000,9.890000,9.890000,9.890000,5.050950,0
2001-02-13,9.890000,9.890000,9.890000,9.890000,5.050950,0
2001-02-14,9.890000,9.890000,9.890000,9.890000,5.050950,0
2001-02-15,9.870000,9.870000,9.870000,9.870000,5.040735,0
2001-02-16,9.870000,9.870000,9.870000,9.870000,5.040735,0
2001-02-20,9.870000,9.870000,9.870000,9.870000,5.040735,0
2001-02-21,9.870000,9.870000,9.870000,9.870000,5.040735,0
2001-02-22,9.860000,9.860000,9.860000,9.860000,5.035631,0
2001-02-23,9.850000,9.850000,9.850000,9.850000,5.030522,0
2001-02-26,9.850000,9.850000,9.850000,9.850000,5.030522,0
2001-02-27,9.850000,9.850000,9.850000,9.850000,5.030522,0
2001-02-28,9.850000,9.850000,9.850000,9.850000,5.048975,0
2001-03-01,9.870000,9.870000,9.870000,9.870000,5.059226,0
2001-03-02,9.870000,9.870000,9.870000,9.870000,5.059226,0
2001-03-05,9.870000,9.870000,9.870000,9.870000,5.059226,0
2001-03-06,9.870000,9.870000,9.870000,9.870000,5.059226,0
2001-03-07,9.870000,9.870000,9.870000,9.870000,5.059226,0
2001-03-08,9.870000,9.870000,9.870000,9.870000,5.059226,0
2001-03-09,9.870000,9.870000,9.870000,9.870000,5.059226,0
2001-03-12,9.870000,9.870000,9.870000,9.870000,5.059226,0
2001-03-13,9.880000,9.880000,9.880000,9.880000,5.064356,0
2001-03-14,9.890000,9.890000,9.890000,9.890000,5.069476,0
2001-03-15,9.900000,9.900000,9.900000,9.900000,5.074606,0
2001-03-16,9.910000,9.910000,9.910000,9.910000,5.079729,0
2001-03-19,9.910000,9.910000,9.910000,9.910000,5.079729,0
2001-03-20,9.910000,9.910000,9.910000,9.910000,5.079729,0
2001-03-21,9.910000,9.910000,9.910000,9.910000,5.079729,0
2001-03-22,9.920000,9.920000,9.920000,9.920000,5.084857,0
2001-03-23,9.920000,9.920000,9.920000,9.920000,5.084857,0
2001-03-26,9.910000,9.910000,9.910000,9.910000,5.079729,0
2001-03-27,9.890000,9.890000,9.890000,9.890000,5.069476,0
2001-03-28,9.900000,9.900000,9.900000,9.900000,5.074606,0
2001-03-29,9.890000,9.890000,9.890000,9.890000,5.069476,0
2001-03-30,9.890000,9.890000,9.890000,9.890000,5.090065,0
2001-04-02,9.890000,9.890000,9.890000,9.890000,5.090065,0
2001-04-03,9.880000,9.880000,9.880000,9.880000,5.084918,0
2001-04-04,9.880000,9.880000,9.880000,9.880000,5.084918,0
2001-04-05,9.870000,9.870000,9.870000,9.870000,5.079771,0
2001-04-06,9.870000,9.870000,9.870000,9.870000,5.079771,0
2001-04-09,9.870000,9.870000,9.870000,9.870000,5.079771,0
2001-04-10,9.850000,9.850000,9.850000,9.850000,5.069478,0
2001-04-11,9.840000,9.840000,9.840000,9.840000,5.064332,0
2001-04-12,9.830000,9.830000,9.830000,9.830000,5.059186,0
2001-04-16,9.810000,9.810000,9.810000,9.810000,5.048890,0
2001-04-17,9.800000,9.800000,9.800000,9.800000,5.043746,0
2001-04-18,9.790000,9.790000,9.790000,9.790000,5.038598,0
2001-04-19,9.790000,9.790000,9.790000,9.790000,5.038598,0
2001-04-20,9.780000,9.780000,9.780000,9.780000,5.033450,0
2001-04-23,9.780000,9.780000,9.780000,9.780000,5.033450,0
2001-04-24,9.780000,9.780000,9.780000,9.780000,5.033450,0
2001-04-25,9.780000,9.780000,9.780000,9.780000,5.033450,0
2001-04-26,9.790000,9.790000,9.790000,9.790000,5.038598,0
2001-04-27,9.780000,9.780000,9.780000,9.780000,5.033450,0
2001-04-30,9.780000,9.780000,9.780000,9.780000,5.054121,0
2001-05-01,9.780000,9.780000,9.780000,9.780000,5.054121,0
2001-05-02,9.780000,9.780000,9.780000,9.780000,5.054121,0
2001-05-03,9.800000,9.800000,9.800000,9.800000,5.064457,0
2001-05-04,9.810000,9.810000,9.810000,9.810000,5.069625,0
2001-05-07,9.810000,9.810000,9.810000,9.810000,5.069625,0
2001-05-08,9.820000,9.820000,9.820000,9.820000,5.074792,0
2001-05-09,9.830000,9.830000,9.830000,9.830000,5.079962,0
2001-05-10,9.840000,9.840000,9.840000,9.840000,5.085127,0
2001-05-11,9.820000,9.820000,9.820000,9.820000,5.074792,0
2001-05-14,9.820000,9.820000,9.820000,9.820000,5.074792,0
2001-05-15,9.820000,9.820000,9.820000,9.820000,5.074792,0
2001-05-16,9.820000,9.820000,9.820000,9.820000,5.074792,0
2001-05-17,9.820000,9.820000,9.820000,9.820000,5.074792,0
2001-05-18,9.830000,9.830000,9.830000,9.830000,5.079962,0
2001-05-21,9.830000,9.830000,9.830000,9.830000,5.079962,0
2001-05-22,9.830000,9.830000,9.830000,9.830000,5.079962,0
2001-05-23,9.830000,9.830000,9.830000,9.830000,5.079962,0
2001-05-24,9.830000,9.830000,9.830000,9.830000,5.079962,0
2001-05-25,9.830000,9.830000,9.830000,9.830000,5.079962,0
2001-05-29,9.820000,9.820000,9.820000,9.820000,5.074792,0
2001-05-30,9.830000,9.830000,9.830000,9.830000,5.079962,0
2001-05-31,9.840000,9.840000,9.840000,9.840000,5.105904,0
2001-06-01,9.850000,9.850000,9.850000,9.850000,5.111095,0
2001-06-04,9.860000,9.860000,9.860000,9.860000,5.116283,0
2001-06-05,9.860000,9.860000,9.860000,9.860000,5.116283,0
2001-06-06,9.880000,9.880000,9.880000,9.880000,5.126661,0
2001-06-07,9.880000,9.880000,9.880000,9.880000,5.126661,0
2001-06-08,9.880000,9.880000,9.880000,9.880000,5.126661,0
2001-06-11,9.870000,9.870000,9.870000,9.870000,5.121472,0
2001-06-12,9.870000,9.870000,9.870000,9.870000,5.121472,0
2001-06-13,9.870000,9.870000,9.870000,9.870000,5.121472,0
2001-06-14,9.870000,9.870000,9.870000,9.870000,5.121472,0
2001-06-15,9.870000,9.870000,9.870000,9.870000,5.121472,0
2001-06-18,9.870000,9.870000,9.870000,9.870000,5.121472,0
2001-06-19,9.870000,9.870000,9.870000,9.870000,5.121472,0
2001-06-20,9.870000,9.870000,9.870000,9.870000,5.121472,0
2001-06-21,9.880000,9.880000,9.880000,9.880000,5.126661,0
2001-06-22,9.880000,9.880000,9.880000,9.880000,5.126661,0
2001-06-25,9.880000,9.880000,9.880000,9.880000,5.126661,0
2001-06-26,9.870000,9.870000,9.870000,9.870000,5.121472,0
